City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
313,Turiacu,6,BR,1579151607,93,-1.66,-45.37,75.67,3.67
314,Nabire,9,ID,1579151607,63,-3.37,135.48,87.04,4.99
315,Glendale,1,US,1579151608,58,33.54,-112.19,57.0,1.79
316,Ufimskiy,100,RU,1579151608,86,56.71,58.05,24.85,19.69
317,Shetpe,0,KZ,1579151608,70,44.17,52.12,30.51,10.0
318,Bubaque,19,GW,1579151608,48,11.28,-15.83,76.44,18.95
319,Kaka,100,TM,1579151608,54,37.35,59.61,40.5,2.53
320,Karatsu,75,JP,1579151608,52,33.44,129.97,50.0,10.29
321,Conakry,100,GN,1579151516,56,9.54,-13.68,75.47,3.11
322,Guaiuba,40,BR,1579151609,88,-4.04,-38.64,82.0,4.7
323,San Quintin,84,MX,1579151609,85,30.48,-115.95,54.66,1.79
324,Lubao,75,PH,1579151609,55,14.92,120.55,88.0,11.41
325,Road Town,1,VG,1579151609,69,18.42,-64.62,77.0,9.17
326,Dumbravita,0,RO,1579151609,87,45.77,25.43,36.0,0.29
327,Seoul,1,KR,1579151568,40,37.57,126.98,37.4,4.7
328,Kedrovyy,96,RU,1579151609,68,56.17,91.82,24.8,8.95
329,Aripuana,11,BR,1579151609,90,-9.17,-60.63,73.33,1.88
330,Storm Lake,1,US,1579151610,76,42.64,-95.21,-2.0,17.22
331,Severo-Kuril'sk,92,RU,1579151610,91,50.68,156.12,16.5,23.22
332,Katidtuan,69,PH,1579151610,59,7.19,124.32,91.6,3.85
333,Huron,90,US,1579151610,100,41.15,-82.55,42.01,14.99
334,Mitsamiouli,20,KM,1579151610,83,-11.38,43.28,82.4,5.82
335,Lata,20,PT,1579151610,87,40.16,-8.33,59.0,6.93
336,Beyneu,100,KZ,1579151611,62,45.32,55.2,32.85,3.56
337,Ponta do Sol,40,PT,1579151611,72,32.67,-17.1,64.4,19.46
338,Sorochinsk,100,RU,1579151611,91,52.43,53.16,19.99,17.27
339,Bad Salzungen,20,DE,1579151611,93,50.82,10.23,46.99,8.05
340,Hasaki,75,JP,1579151611,42,35.73,140.83,52.0,2.24
341,Hemsedal,32,NO,1579151611,80,60.86,8.55,33.01,4.0
342,Los Llanos de Aridane,0,ES,1579151611,31,28.66,-17.92,60.8,9.17
343,Makokou,96,GA,1579151612,91,0.57,12.86,72.36,3.91
344,Chino Valley,1,US,1579151612,39,34.76,-112.45,46.99,10.29
345,Bengkulu,87,ID,1579151612,75,-3.8,102.27,83.91,4.65
346,Borovany,15,CZ,1579151612,90,48.9,14.64,42.01,3.15
347,Nishihara,75,JP,1579151612,69,26.18,127.76,77.0,18.34
348,Langsa,8,ID,1579151612,56,4.47,97.97,88.43,7.63
349,Katsuura,75,JP,1579151613,39,35.13,140.3,51.01,2.24
350,Alcudia,100,ES,1579151613,86,39.85,3.12,55.0,4.7
351,Morococha,97,PE,1579151613,85,-11.6,-76.14,39.29,4.16
352,Mahajanga,20,MG,1579151613,83,-15.72,46.32,82.4,5.82
353,Chumikan,0,RU,1579151613,73,54.72,135.31,2.79,10.4
354,Ferme-Neuve,100,CA,1579151613,95,46.7,-75.45,19.81,0.2
355,Dimitrovgrad,90,RU,1579151613,86,54.21,49.62,33.8,11.18
356,Praia,63,CV,1579151613,77,14.92,-23.51,69.8,21.92
357,Molteno,0,ZA,1579151614,30,-31.4,26.36,75.09,2.64
358,Paracuru,40,BR,1579151614,88,-3.41,-39.03,82.0,4.7
359,Fort Smith,40,US,1579151614,82,35.39,-94.4,59.0,5.82
360,Vardo,75,NO,1579151614,85,70.37,31.11,23.0,12.75
361,Phetchaburi,20,TH,1579151614,62,12.97,99.58,86.0,5.82
362,Ngunguru,0,NZ,1579151614,63,-35.62,174.5,68.0,5.99
363,Ihosy,100,MG,1579151614,91,-22.4,46.12,68.76,5.08
364,Sembe,94,CG,1579151615,82,1.65,14.58,73.47,4.59
365,Slave Lake,1,CA,1579151615,65,55.28,-114.77,-34.6,3.36
366,Alofi,100,NU,1579151615,81,-19.06,-169.92,82.35,13.09
